pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
97.55707762557077,98.91603442152268,84.71843198150292,183.6344664030256,203.57949911548332
98.05479452054794,99.05774411264571,85.05957250315788,184.1173166158036,204.0920883118498
98.5525114155251,99.19885907791559,85.40026051137129,184.5991195892869,204.60350872856543
99.05022831050228,99.3393848552493,85.74049833319697,185.07988318844627,205.1137692757106
99.54794520547945,99.4793269032885,86.08028827218223,185.55961517547073,205.62287874648638
100.04566210045661,99.61869060292577,86.41963260872483,186.0383232116506,206.1308458193579
100.54337899543378,99.75748125879397,86.75853360041707,186.51601485921105,206.6376790601401
101.04109589041096,99.89570410072031,87.09699348238985,186.99269758311016,207.14338692404255
101.53881278538812,100.03336428514513,87.43501446764247,187.4683787527876,207.64797775766084
102.03652968036529,100.17046689650704,87.77259874737204,187.9430656438791,208.1514598009261
102.53424657534246,100.30701694859562,88.10974849129272,188.41676543988834,208.6538411890075
103.03196347031962,100.44301938587188,88.44646584795125,188.8894852338231,209.15512995417404
103.5296803652968,100.5784790847581,88.78275294503489,189.36123202979297,209.65533402761343
104.02739726027397,100.71340085489703,89.11861188967193,189.83201274456894,210.15446124120433
104.52511415525113,100.84778944038271,89.45404476873178,190.30183420911447,210.65251932926148
105.0228310502283,100.98164952096198,89.78905364911155,190.77070317007355,211.14951593022676
105.52054794520548,101.11498571320902,90.1236405780247,191.23862629123374,211.64545858833526
106.01826484018264,101.24780257167271,90.45780758327943,191.70561015495213,212.1403547552367
106.51598173515981,101.38010458999764,90.79155667355259,192.17166126355022,212.63421179158425
107.01369863013699,101.51189620202041,91.1248898386605,192.6367860406809,213.12703696858858
107.51141552511415,101.64318178284043,91.45780904982314,193.10099083266357,213.6188374695389
108.00913242009132,101.77396564986702,91.79031625992152,193.56428190978855,214.10962039128455
108.5068493150685,101.90425206384327,92.12241340375682,194.02666546760008,214.59939274569854
109.00456621004565,102.03404522984675,92.45410239829535,194.4881476281421,215.08816146109262
109.50228310502283,102.16334929826803,92.78538514291604,194.94873444118406,215.57593338361323
110.0,102.29216836576825,93.11626351965329,195.40843188542152,216.0627152786073
